LGA,Total cases,Date
Wattle Range (DC),4,2021-12-28
Wattle Range (DC),4,2021-12-27
Wattle Range (DC),4,2021-12-26
Wattle Range (DC),4,2021-12-25
Wattle Range (DC),4,2021-12-24
Wattle Range (DC),4,2021-12-23
Wattle Range (DC),2,2021-12-22
Wattle Range (DC),2,2021-12-21
Wattle Range (DC),2,2021-12-20
Copper Coast (DC),62,2022-01-06
Copper Coast (DC),55,2022-01-05
Copper Coast (DC),41,2022-01-04
Copper Coast (DC),33,2022-01-03
Copper Coast (DC),28,2022-01-02
Copper Coast (DC),24,2022-01-01
Copper Coast (DC),15,2021-12-31
Copper Coast (DC),9,2021-12-30
Copper Coast (DC),7,2021-12-29
Copper Coast (DC),6,2021-12-28
Copper Coast (DC),6,2021-12-27
Copper Coast (DC),6,2021-12-26
Copper Coast (DC),6,2021-12-25
Copper Coast (DC),5,2021-12-24
Copper Coast (DC),5,2021-12-23
Copper Coast (DC),5,2021-12-22
Copper Coast (DC),5,2021-12-21
Copper Coast (DC),5,2021-12-20
Renmark Paringa (DC),47,2022-01-06
Renmark Paringa (DC),40,2022-01-05
Renmark Paringa (DC),31,2022-01-04
Renmark Paringa (DC),28,2022-01-03
Renmark Paringa (DC),28,2022-01-02
Renmark Paringa (DC),18,2022-01-01
Renmark Paringa (DC),13,2021-12-31
Renmark Paringa (DC),7,2021-12-30
Renmark Paringa (DC),7,2021-12-29
Renmark Paringa (DC),6,2021-12-28
Renmark Paringa (DC),6,2021-12-27
Renmark Paringa (DC),6,2021-12-26
Renmark Paringa (DC),6,2021-12-25
Renmark Paringa (DC),6,2021-12-24
Renmark Paringa (DC),4,2021-12-23
Renmark Paringa (DC),4,2021-12-22
Renmark Paringa (DC),4,2021-12-21
Renmark Paringa (DC),4,2021-12-20
Tatiara (DC),45,2022-01-06
Tatiara (DC),39,2022-01-05
Tatiara (DC),17,2022-01-04
Tatiara (DC),11,2022-01-03
Tatiara (DC),8,2022-01-02
Tatiara (DC),7,2022-01-01
Tatiara (DC),5,2021-12-31
Tatiara (DC),4,2021-12-30
Tatiara (DC),4,2021-12-29
Tatiara (DC),4,2021-12-28
Tatiara (DC),4,2021-12-27
Tatiara (DC),4,2021-12-26
Tatiara (DC),3,2021-12-25
Tatiara (DC),3,2021-12-24
Tatiara (DC),3,2021-12-23
Tatiara (DC),1,2021-12-22
Tatiara (DC),1,2021-12-21
Tatiara (DC),1,2021-12-20
Tumby Bay (DC),8,2022-01-06
Tumby Bay (DC),2,2022-01-05
Tumby Bay (DC),2,2022-01-04
Tumby Bay (DC),1,2022-01-03
Tumby Bay (DC),1,2022-01-02
Tumby Bay (DC),1,2022-01-01
Tumby Bay (DC),1,2021-12-31
Tumby Bay (DC),0,2021-12-30
Tumby Bay (DC),0,2021-12-29
Tumby Bay (DC),0,2021-12-28
Tumby Bay (DC),0,2021-12-27
Tumby Bay (DC),0,2021-12-26
Tumby Bay (DC),0,2021-12-25
Tumby Bay (DC),0,2021-12-24
Tumby Bay (DC),0,2021-12-23
Tumby Bay (DC),0,2021-12-22
Tumby Bay (DC),0,2021-12-21
Tumby Bay (DC),0,2021-12-20
Clare and Gilbert Valleys (DC),79,2022-01-06
Clare and Gilbert Valleys (DC),74,2022-01-05
Clare and Gilbert Valleys (DC),60,2022-01-04
Clare and Gilbert Valleys (DC),36,2022-01-03
Clare and Gilbert Valleys (DC),35,2022-01-02
Clare and Gilbert Valleys (DC),31,2022-01-01
Clare and Gilbert Valleys (DC),26,2021-12-31
Clare and Gilbert Valleys (DC),23,2021-12-30
Clare and Gilbert Valleys (DC),18,2021-12-29
Clare and Gilbert Valleys (DC),13,2021-12-28
Clare and Gilbert Valleys (DC),11,2021-12-27
Clare and Gilbert Valleys (DC),10,2021-12-26
Clare and Gilbert Valleys (DC),10,2021-12-25
Clare and Gilbert Valleys (DC),8,2021-12-24
Clare and Gilbert Valleys (DC),4,2021-12-23
Clare and Gilbert Valleys (DC),1,2021-12-22
Clare and Gilbert Valleys (DC),0,2021-12-21
Clare and Gilbert Valleys (DC),0,2021-12-20
Loxton Waikerie (DC),51,2022-01-06
Loxton Waikerie (DC),46,2022-01-05
Loxton Waikerie (DC),40,2022-01-04
Loxton Waikerie (DC),31,2022-01-03
Loxton Waikerie (DC),29,2022-01-02
Loxton Waikerie (DC),24,2022-01-01
Loxton Waikerie (DC),19,2021-12-31
Loxton Waikerie (DC),14,2021-12-30
Loxton Waikerie (DC),9,2021-12-29
Loxton Waikerie (DC),6,2021-12-28
Loxton Waikerie (DC),5,2021-12-27
Loxton Waikerie (DC),4,2021-12-26
Loxton Waikerie (DC),4,2021-12-25
Loxton Waikerie (DC),3,2021-12-24
Loxton Waikerie (DC),1,2021-12-23
Loxton Waikerie (DC),1,2021-12-22
Loxton Waikerie (DC),1,2021-12-21
Loxton Waikerie (DC),1,2021-12-20
Whyalla (C),46,2022-01-06
Whyalla (C),41,2022-01-05
Whyalla (C),32,2022-01-04
Whyalla (C),23,2022-01-03
Whyalla (C),21,2022-01-02
Whyalla (C),19,2022-01-01
Whyalla (C),17,2021-12-31
Whyalla (C),13,2021-12-30
Whyalla (C),8,2021-12-29
Whyalla (C),6,2021-12-28
Whyalla (C),5,2021-12-27
Whyalla (C),5,2021-12-26
Whyalla (C),5,2021-12-25
Whyalla (C),5,2021-12-24
Whyalla (C),5,2021-12-23
Whyalla (C),5,2021-12-22
Whyalla (C),5,2021-12-21
Whyalla (C),5,2021-12-20
Wakefield (DC),27,2022-01-06
Wakefield (DC),22,2022-01-05
Wakefield (DC),21,2022-01-04
Wakefield (DC),20,2022-01-03
Wakefield (DC),18,2022-01-02
Wakefield (DC),17,2022-01-01
Wakefield (DC),14,2021-12-31
Wakefield (DC),12,2021-12-30
Wakefield (DC),8,2021-12-29
Wakefield (DC),8,2021-12-28
Wakefield (DC),7,2021-12-27
Wakefield (DC),7,2021-12-26
Wakefield (DC),4,2021-12-25
Wakefield (DC),3,2021-12-24
Wakefield (DC),1,2021-12-23
Wakefield (DC),1,2021-12-22
Wakefield (DC),1,2021-12-21
Wakefield (DC),1,2021-12-20
Yankalilla (DC),21,2022-01-06
Yankalilla (DC),16,2022-01-05
Yankalilla (DC),14,2022-01-04
Yankalilla (DC),11,2022-01-03
Yankalilla (DC),11,2022-01-02
Yankalilla (DC),8,2022-01-01
Yankalilla (DC),6,2021-12-31
Yankalilla (DC),5,2021-12-30
Yankalilla (DC),3,2021-12-29
Yankalilla (DC),3,2021-12-28
Yankalilla (DC),2,2021-12-27
Yankalilla (DC),2,2021-12-26
Yankalilla (DC),2,2021-12-25
Yankalilla (DC),1,2021-12-24
Yankalilla (DC),1,2021-12-23
Yankalilla (DC),0,2021-12-22
Yankalilla (DC),0,2021-12-21
Yankalilla (DC),0,2021-12-20
Lower Eyre Peninsula (DC),14,2022-01-06
Lower Eyre Peninsula (DC),9,2022-01-05
Lower Eyre Peninsula (DC),8,2022-01-04
Lower Eyre Peninsula (DC),7,2022-01-03
Lower Eyre Peninsula (DC),7,2022-01-02
Lower Eyre Peninsula (DC),5,2022-01-01
Lower Eyre Peninsula (DC),3,2021-12-31
Lower Eyre Peninsula (DC),3,2021-12-30
Lower Eyre Peninsula (DC),1,2021-12-29
Lower Eyre Peninsula (DC),1,2021-12-28
Lower Eyre Peninsula (DC),1,2021-12-27
Lower Eyre Peninsula (DC),1,2021-12-26
Lower Eyre Peninsula (DC),1,2021-12-25
Lower Eyre Peninsula (DC),0,2021-12-24
Lower Eyre Peninsula (DC),0,2021-12-23
Lower Eyre Peninsula (DC),0,2021-12-22
Lower Eyre Peninsula (DC),0,2021-12-21
Lower Eyre Peninsula (DC),0,2021-12-20
Southern Mallee (DC),24,2022-01-06
Southern Mallee (DC),20,2022-01-05
Southern Mallee (DC),14,2022-01-04
Southern Mallee (DC),7,2022-01-03
Southern Mallee (DC),7,2022-01-02
Southern Mallee (DC),5,2022-01-01
Southern Mallee (DC),5,2021-12-31
Southern Mallee (DC),4,2021-12-30
Southern Mallee (DC),3,2021-12-29
Southern Mallee (DC),2,2021-12-28
Southern Mallee (DC),2,2021-12-27
Southern Mallee (DC),2,2021-12-26
Southern Mallee (DC),2,2021-12-25
Southern Mallee (DC),2,2021-12-24
Southern Mallee (DC),0,2021-12-23
Southern Mallee (DC),0,2021-12-22
Southern Mallee (DC),0,2021-12-21
Southern Mallee (DC),0,2021-12-20
Streaky Bay (DC),5,2022-01-06
Streaky Bay (DC),2,2022-01-05
Streaky Bay (DC),2,2022-01-04
Streaky Bay (DC),1,2022-01-03
Streaky Bay (DC),1,2022-01-02
Streaky Bay (DC),1,2022-01-01
Streaky Bay (DC),1,2021-12-31
Streaky Bay (DC),1,2021-12-30
Streaky Bay (DC),1,2021-12-29
Streaky Bay (DC),0,2021-12-28
Streaky Bay (DC),0,2021-12-27
Streaky Bay (DC),0,2021-12-26
Streaky Bay (DC),0,2021-12-25
Streaky Bay (DC),0,2021-12-24
Streaky Bay (DC),0,2021-12-23
Streaky Bay (DC),0,2021-12-22
Streaky Bay (DC),0,2021-12-21
Streaky Bay (DC),0,2021-12-20
The Coorong (DC),35,2022-01-06
The Coorong (DC),33,2022-01-05
The Coorong (DC),24,2022-01-04
The Coorong (DC),20,2022-01-03
The Coorong (DC),19,2022-01-02
The Coorong (DC),17,2022-01-01
The Coorong (DC),13,2021-12-31
The Coorong (DC),12,2021-12-30
The Coorong (DC),10,2021-12-29
The Coorong (DC),7,2021-12-28
The Coorong (DC),6,2021-12-27
The Coorong (DC),6,2021-12-26
The Coorong (DC),6,2021-12-25
The Coorong (DC),4,2021-12-24
The Coorong (DC),1,2021-12-23
The Coorong (DC),0,2021-12-22
The Coorong (DC),0,2021-12-21
The Coorong (DC),0,2021-12-20
Mid Murray (DC),19,2022-01-06
Mid Murray (DC),17,2022-01-05
Mid Murray (DC),14,2022-01-04
Mid Murray (DC),13,2022-01-03
Mid Murray (DC),12,2022-01-02
Mid Murray (DC),10,2022-01-01
Mid Murray (DC),10,2021-12-31
Mid Murray (DC),10,2021-12-30
Mid Murray (DC),9,2021-12-29
Mid Murray (DC),9,2021-12-28
Mid Murray (DC),7,2021-12-27
Mid Murray (DC),7,2021-12-26
Mid Murray (DC),7,2021-12-25
Mid Murray (DC),6,2021-12-24
Mid Murray (DC),6,2021-12-23
Mid Murray (DC),4,2021-12-22
Mid Murray (DC),4,2021-12-21
Mid Murray (DC),4,2021-12-20
Orroroo-Carrieton (DC),7,2022-01-06
Orroroo-Carrieton (DC),6,2022-01-05
Orroroo-Carrieton (DC),5,2022-01-04
Orroroo-Carrieton (DC),4,2022-01-03
Orroroo-Carrieton (DC),3,2022-01-02
Orroroo-Carrieton (DC),2,2022-01-01
Orroroo-Carrieton (DC),1,2021-12-31
Orroroo-Carrieton (DC),1,2021-12-30
Orroroo-Carrieton (DC),1,2021-12-29
Orroroo-Carrieton (DC),1,2021-12-28
Orroroo-Carrieton (DC),1,2021-12-27
Orroroo-Carrieton (DC),1,2021-12-26
Orroroo-Carrieton (DC),1,2021-12-25
Orroroo-Carrieton (DC),1,2021-12-24
Orroroo-Carrieton (DC),1,2021-12-23
Orroroo-Carrieton (DC),0,2021-12-22
Orroroo-Carrieton (DC),0,2021-12-21
Orroroo-Carrieton (DC),0,2021-12-20
Coober Pedy (DC),4,2022-01-06
Coober Pedy (DC),3,2022-01-05
Coober Pedy (DC),3,2022-01-04
Coober Pedy (DC),2,2022-01-03
Coober Pedy (DC),2,2022-01-02
Coober Pedy (DC),2,2022-01-01
Coober Pedy (DC),2,2021-12-31
Coober Pedy (DC),2,2021-12-30
Coober Pedy (DC),1,2021-12-29
Coober Pedy (DC),0,2021-12-28
Coober Pedy (DC),0,2021-12-27
Coober Pedy (DC),0,2021-12-26
Coober Pedy (DC),0,2021-12-25
Coober Pedy (DC),0,2021-12-24
Coober Pedy (DC),0,2021-12-23
Coober Pedy (DC),0,2021-12-22
Coober Pedy (DC),0,2021-12-21
Coober Pedy (DC),0,2021-12-20
Unincorporated SA,3,2022-01-06
Unincorporated SA,2,2022-01-05
Unincorporated SA,2,2022-01-04
Unincorporated SA,1,2022-01-03
Unincorporated SA,1,2022-01-02
Unincorporated SA,1,2022-01-01
Unincorporated SA,0,2021-12-31
Unincorporated SA,0,2021-12-30
Unincorporated SA,0,2021-12-29
Unincorporated SA,0,2021-12-28
Unincorporated SA,0,2021-12-27
Unincorporated SA,0,2021-12-26
Unincorporated SA,0,2021-12-25
Unincorporated SA,0,2021-12-24
Unincorporated SA,0,2021-12-23
Unincorporated SA,0,2021-12-22
Unincorporated SA,0,2021-12-21
Unincorporated SA,0,2021-12-20
Wudinna (DC),3,2022-01-06
Wudinna (DC),2,2022-01-05
Wudinna (DC),2,2022-01-04
Wudinna (DC),2,2022-01-03
Wudinna (DC),2,2022-01-02
Wudinna (DC),2,2022-01-01
Wudinna (DC),2,2021-12-31
Wudinna (DC),2,2021-12-30
Wudinna (DC),2,2021-12-29
Wudinna (DC),0,2021-12-28
Wudinna (DC),0,2021-12-27
Wudinna (DC),0,2021-12-26
Wudinna (DC),0,2021-12-25
Wudinna (DC),0,2021-12-24
Wudinna (DC),0,2021-12-23
Wudinna (DC),0,2021-12-22
Wudinna (DC),0,2021-12-21
Wudinna (DC),0,2021-12-20
Kimba (DC),2,2022-01-06
Kimba (DC),1,2022-01-05
Kimba (DC),1,2022-01-04
Kimba (DC),1,2022-01-03
Kimba (DC),1,2022-01-02
Kimba (DC),1,2022-01-01
Kimba (DC),1,2021-12-31
Kimba (DC),0,2021-12-30
Kimba (DC),0,2021-12-29
Kimba (DC),0,2021-12-28
Kimba (DC),0,2021-12-27
Kimba (DC),0,2021-12-26
Kimba (DC),0,2021-12-25
Kimba (DC),0,2021-12-24
Kimba (DC),0,2021-12-23
Kimba (DC),0,2021-12-22
Kimba (DC),0,2021-12-21
Kimba (DC),0,2021-12-20
Northern Areas (DC),16,2022-01-06
Northern Areas (DC),16,2022-01-05
Northern Areas (DC),15,2022-01-04
Northern Areas (DC),10,2022-01-03
Northern Areas (DC),10,2022-01-02
Northern Areas (DC),10,2022-01-01
Northern Areas (DC),10,2021-12-31
Northern Areas (DC),6,2021-12-30
Northern Areas (DC),5,2021-12-29
Northern Areas (DC),4,2021-12-28
Northern Areas (DC),4,2021-12-27
Northern Areas (DC),3,2021-12-26
Northern Areas (DC),2,2021-12-25
Northern Areas (DC),2,2021-12-24
Northern Areas (DC),1,2021-12-23
Northern Areas (DC),1,2021-12-22
Northern Areas (DC),0,2021-12-21
Northern Areas (DC),0,2021-12-20
Roxby Downs (M),16,2022-01-06
Roxby Downs (M),16,2022-01-05
Roxby Downs (M),12,2022-01-04
Roxby Downs (M),4,2022-01-03
Roxby Downs (M),4,2022-01-02
Roxby Downs (M),4,2022-01-01
Roxby Downs (M),4,2021-12-31
Roxby Downs (M),3,2021-12-30
Roxby Downs (M),1,2021-12-29
Roxby Downs (M),1,2021-12-28
Roxby Downs (M),0,2021-12-27
Roxby Downs (M),0,2021-12-26
Roxby Downs (M),0,2021-12-25
Roxby Downs (M),0,2021-12-24
Roxby Downs (M),0,2021-12-23
Roxby Downs (M),0,2021-12-22
Roxby Downs (M),0,2021-12-21
Roxby Downs (M),0,2021-12-20
Goyder (DC),15,2022-01-06
Goyder (DC),15,2022-01-05
Goyder (DC),10,2022-01-04
Goyder (DC),7,2022-01-03
Goyder (DC),5,2022-01-02
Goyder (DC),5,2022-01-01
Goyder (DC),4,2021-12-31
Goyder (DC),2,2021-12-30
Goyder (DC),2,2021-12-29
Goyder (DC),2,2021-12-28
Goyder (DC),2,2021-12-27
Goyder (DC),2,2021-12-26
Goyder (DC),1,2021-12-25
Goyder (DC),1,2021-12-24
Goyder (DC),0,2021-12-23
Goyder (DC),0,2021-12-22
Goyder (DC),0,2021-12-21
Goyder (DC),0,2021-12-20
Elliston (DC),6,2022-01-06
Elliston (DC),6,2022-01-05
Elliston (DC),5,2022-01-04
Elliston (DC),3,2022-01-03
Elliston (DC),3,2022-01-02
Elliston (DC),1,2022-01-01
Elliston (DC),0,2021-12-31
Elliston (DC),0,2021-12-30
Elliston (DC),0,2021-12-29
Elliston (DC),0,2021-12-28
Elliston (DC),0,2021-12-27
Elliston (DC),0,2021-12-26
Elliston (DC),0,2021-12-25
Elliston (DC),0,2021-12-24
Elliston (DC),0,2021-12-23
Elliston (DC),0,2021-12-22
Elliston (DC),0,2021-12-21
Elliston (DC),0,2021-12-20
Barunga West (DC),5,2022-01-06
Barunga West (DC),5,2022-01-05
Barunga West (DC),4,2022-01-04
Barunga West (DC),3,2022-01-03
Barunga West (DC),3,2022-01-02
Barunga West (DC),3,2022-01-01
Barunga West (DC),3,2021-12-31
Barunga West (DC),2,2021-12-30
Barunga West (DC),2,2021-12-29
Barunga West (DC),2,2021-12-28
Barunga West (DC),2,2021-12-27
Barunga West (DC),2,2021-12-26
Barunga West (DC),2,2021-12-25
Barunga West (DC),2,2021-12-24
Barunga West (DC),1,2021-12-23
Barunga West (DC),1,2021-12-22
Barunga West (DC),0,2021-12-21
Barunga West (DC),0,2021-12-20
Ceduna (DC),5,2022-01-06
Ceduna (DC),5,2022-01-05
Ceduna (DC),5,2022-01-04
Ceduna (DC),2,2022-01-03
Ceduna (DC),2,2022-01-02
Ceduna (DC),2,2022-01-01
Ceduna (DC),2,2021-12-31
Ceduna (DC),0,2021-12-30
Ceduna (DC),0,2021-12-29
Ceduna (DC),0,2021-12-28
Ceduna (DC),0,2021-12-27
Ceduna (DC),0,2021-12-26
Ceduna (DC),0,2021-12-25
Ceduna (DC),0,2021-12-24
Ceduna (DC),0,2021-12-23
Ceduna (DC),0,2021-12-22
Ceduna (DC),0,2021-12-21
Ceduna (DC),0,2021-12-20
Mount Remarkable (DC),5,2022-01-06
Mount Remarkable (DC),5,2022-01-05
Mount Remarkable (DC),5,2022-01-04
Mount Remarkable (DC),5,2022-01-03
Mount Remarkable (DC),3,2022-01-02
Mount Remarkable (DC),3,2022-01-01
Mount Remarkable (DC),3,2021-12-31
Mount Remarkable (DC),1,2021-12-30
Mount Remarkable (DC),1,2021-12-29
Mount Remarkable (DC),1,2021-12-28
Mount Remarkable (DC),1,2021-12-27
Mount Remarkable (DC),0,2021-12-26
Mount Remarkable (DC),0,2021-12-25
Mount Remarkable (DC),0,2021-12-24
Mount Remarkable (DC),0,2021-12-23
Mount Remarkable (DC),0,2021-12-22
Mount Remarkable (DC),0,2021-12-21
Mount Remarkable (DC),0,2021-12-20
Franklin Harbour (DC),4,2022-01-06
Franklin Harbour (DC),4,2022-01-05
Franklin Harbour (DC),3,2022-01-04
Franklin Harbour (DC),2,2022-01-03
Franklin Harbour (DC),1,2022-01-02
Franklin Harbour (DC),1,2022-01-01
Franklin Harbour (DC),0,2021-12-31
Franklin Harbour (DC),0,2021-12-30
Franklin Harbour (DC),0,2021-12-29
Franklin Harbour (DC),0,2021-12-28
Franklin Harbour (DC),0,2021-12-27
Franklin Harbour (DC),0,2021-12-26
Franklin Harbour (DC),0,2021-12-25
Franklin Harbour (DC),0,2021-12-24
Franklin Harbour (DC),0,2021-12-23
Franklin Harbour (DC),0,2021-12-22
Franklin Harbour (DC),0,2021-12-21
Franklin Harbour (DC),0,2021-12-20
Peterborough (DC),4,2022-01-06
Peterborough (DC),4,2022-01-05
Peterborough (DC),1,2022-01-04
Peterborough (DC),0,2022-01-03
Peterborough (DC),0,2022-01-02
Peterborough (DC),0,2022-01-01
Peterborough (DC),0,2021-12-31
Peterborough (DC),0,2021-12-30
Peterborough (DC),0,2021-12-29
Peterborough (DC),0,2021-12-28
Peterborough (DC),0,2021-12-27
Peterborough (DC),0,2021-12-26
Peterborough (DC),0,2021-12-25
Peterborough (DC),0,2021-12-24
Peterborough (DC),0,2021-12-23
Peterborough (DC),0,2021-12-22
Peterborough (DC),0,2021-12-21
Peterborough (DC),0,2021-12-20
Cleve (DC),3,2022-01-06
Cleve (DC),3,2022-01-05
Cleve (DC),3,2022-01-04
Cleve (DC),2,2022-01-03
Cleve (DC),2,2022-01-02
Cleve (DC),2,2022-01-01
Cleve (DC),2,2021-12-31
Cleve (DC),2,2021-12-30
Cleve (DC),2,2021-12-29
Cleve (DC),2,2021-12-28
Cleve (DC),2,2021-12-27
Cleve (DC),2,2021-12-26
Cleve (DC),2,2021-12-25
Cleve (DC),2,2021-12-24
Cleve (DC),2,2021-12-23
Cleve (DC),1,2021-12-22
Cleve (DC),0,2021-12-21
Cleve (DC),0,2021-12-20
Karoonda East Murray (DC),1,2022-01-06
Karoonda East Murray (DC),1,2022-01-05
Karoonda East Murray (DC),1,2022-01-04
Karoonda East Murray (DC),1,2022-01-03
Karoonda East Murray (DC),1,2022-01-02
Karoonda East Murray (DC),1,2022-01-01
Karoonda East Murray (DC),1,2021-12-31
Karoonda East Murray (DC),1,2021-12-30
Karoonda East Murray (DC),1,2021-12-29
Karoonda East Murray (DC),1,2021-12-28
Karoonda East Murray (DC),1,2021-12-27
Karoonda East Murray (DC),1,2021-12-26
Karoonda East Murray (DC),1,2021-12-25
Karoonda East Murray (DC),1,2021-12-24
Karoonda East Murray (DC),0,2021-12-23
Karoonda East Murray (DC),0,2021-12-22
Karoonda East Murray (DC),0,2021-12-21
Karoonda East Murray (DC),0,2021-12-20
Adelaide Plains (DC),0,2022-01-06
Adelaide Plains (DC),0,2022-01-05
Adelaide Plains (DC),0,2022-01-04
Adelaide Plains (DC),0,2022-01-03
Adelaide Plains (DC),0,2022-01-02
Adelaide Plains (DC),0,2022-01-01
Adelaide Plains (DC),0,2021-12-31
Adelaide Plains (DC),0,2021-12-30
Adelaide Plains (DC),0,2021-12-29
Adelaide Plains (DC),0,2021-12-28
Adelaide Plains (DC),0,2021-12-27
Adelaide Plains (DC),0,2021-12-26
Adelaide Plains (DC),0,2021-12-25
Adelaide Plains (DC),0,2021-12-24
Adelaide Plains (DC),0,2021-12-23
Adelaide Plains (DC),0,2021-12-22
Adelaide Plains (DC),0,2021-12-21
Adelaide Plains (DC),0,2021-12-20
Anangu Pitjantjatjara (AC),0,2022-01-06
Anangu Pitjantjatjara (AC),0,2022-01-05
Anangu Pitjantjatjara (AC),0,2022-01-04
Anangu Pitjantjatjara (AC),0,2022-01-03
Anangu Pitjantjatjara (AC),0,2022-01-02
Anangu Pitjantjatjara (AC),0,2022-01-01
Anangu Pitjantjatjara (AC),0,2021-12-31
Anangu Pitjantjatjara (AC),0,2021-12-30
Anangu Pitjantjatjara (AC),0,2021-12-29
Anangu Pitjantjatjara (AC),0,2021-12-28
Anangu Pitjantjatjara (AC),0,2021-12-27
Anangu Pitjantjatjara (AC),0,2021-12-26
Anangu Pitjantjatjara (AC),0,2021-12-25
Anangu Pitjantjatjara (AC),0,2021-12-24
Anangu Pitjantjatjara (AC),0,2021-12-23
Anangu Pitjantjatjara (AC),0,2021-12-22
Anangu Pitjantjatjara (AC),0,2021-12-21
Anangu Pitjantjatjara (AC),0,2021-12-20
Berri and Barmera (DC),0,2022-01-06
Berri and Barmera (DC),0,2022-01-05
Berri and Barmera (DC),0,2022-01-04
Berri and Barmera (DC),0,2022-01-03
Berri and Barmera (DC),0,2022-01-02
Berri and Barmera (DC),0,2022-01-01
Berri and Barmera (DC),0,2021-12-31
Berri and Barmera (DC),0,2021-12-30
Berri and Barmera (DC),0,2021-12-29
Berri and Barmera (DC),0,2021-12-28
Berri and Barmera (DC),0,2021-12-27
Berri and Barmera (DC),0,2021-12-26
Berri and Barmera (DC),0,2021-12-25
Berri and Barmera (DC),0,2021-12-24
Berri and Barmera (DC),0,2021-12-23
Berri and Barmera (DC),0,2021-12-22
Berri and Barmera (DC),0,2021-12-21
Berri and Barmera (DC),0,2021-12-20
Flinders Ranges (DC),0,2022-01-06
Flinders Ranges (DC),0,2022-01-05
Flinders Ranges (DC),0,2022-01-04
Flinders Ranges (DC),0,2022-01-03
Flinders Ranges (DC),0,2022-01-02
Flinders Ranges (DC),0,2022-01-01
Flinders Ranges (DC),0,2021-12-31
Flinders Ranges (DC),0,2021-12-30
Flinders Ranges (DC),0,2021-12-29
Flinders Ranges (DC),0,2021-12-28
Flinders Ranges (DC),0,2021-12-27
Flinders Ranges (DC),0,2021-12-26
Flinders Ranges (DC),0,2021-12-25
Flinders Ranges (DC),0,2021-12-24
Flinders Ranges (DC),0,2021-12-23
Flinders Ranges (DC),0,2021-12-22
Flinders Ranges (DC),0,2021-12-21
Flinders Ranges (DC),0,2021-12-20
Maralinga Tjarutja (AC),0,2022-01-06
Maralinga Tjarutja (AC),0,2022-01-05
Maralinga Tjarutja (AC),0,2022-01-04
Maralinga Tjarutja (AC),0,2022-01-03
Maralinga Tjarutja (AC),0,2022-01-02
Maralinga Tjarutja (AC),0,2022-01-01
Maralinga Tjarutja (AC),0,2021-12-31
Maralinga Tjarutja (AC),0,2021-12-30
Maralinga Tjarutja (AC),0,2021-12-29
Maralinga Tjarutja (AC),0,2021-12-28
Maralinga Tjarutja (AC),0,2021-12-27
Maralinga Tjarutja (AC),0,2021-12-26
Maralinga Tjarutja (AC),0,2021-12-25
Maralinga Tjarutja (AC),0,2021-12-24
Maralinga Tjarutja (AC),0,2021-12-23
Maralinga Tjarutja (AC),0,2021-12-22
Maralinga Tjarutja (AC),0,2021-12-21
Maralinga Tjarutja (AC),0,2021-12-20
